Bill Number,Title,Sponsors,Status,Current Location/Referral,Last Action Date
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=44&year=26"" target=""_blank"">SB  44</a>",NM TECH BOARD MONITORING NETWORK,"Craig W. Brandt; Roberto ""Bobby"" J. Gonzales",SEC: Reported by committee with Do Pass recommendation,Senate Finance Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=45&year=26"" target=""_blank"">SB  45</a>",ACADEMIC LIBRARY MANAGEMENT POLICIES,Harold Pope; Antoinette Sedillo Lopez; Kathleen Cates,Sent to SCC - Referrals: SCC/SEC/SJC,Senate Committees Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=46&year=26"" target=""_blank"">SB  46</a>",EXPLORE DIVERSION OF ORGANIC WASTE,"Pete Campos; Elizabeth ""Liz"" Stefanics",SCONC: Reported by committee with Do Pass recommendation,Senate Finance Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=47&year=26"" target=""_blank"">SB  47</a>",FOOD RECOVERY & COMPOSTING ACT,"Pete Campos; Elizabeth ""Liz"" Stefanics",SCC: Reported by committee to fall within the purview of a 30 day session,Senate Conservation Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=48&year=26"" target=""_blank"">SB  48</a>",STATE FAIRGROUNDS DISTRICT BONDS,Mimi Stewart; Janelle Anyanonu,HTRC: Reported by committee with Do Pass recommendation,House Calendar,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=49&year=26"" target=""_blank"">SB  49</a>",SCHOOL-AGE APPROPRIATE FILTERING PROJECT,Anthony L. Thornton,Sent to SCC - Referrals: SCC/SEC/SFC,Senate Committees Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=50&year=26"" target=""_blank"">SB  50</a>",LAW ENFORCEMENT TRAINING REQUIREMENTS,Antonio Maestas; Crystal Brantley; Pamelya Herndon; Nicole Chavez,Sent to HJC - Referrals: HJC,House Judiciary Committee,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=51&year=26"" target=""_blank"">SB  51</a>",WRONGFUL CONVICTION COMPENSATION ACT,Antoinette Sedillo Lopez,Sent to SCC - Referrals: SCC/SJC/SFC,Senate Committees Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=52&year=26"" target=""_blank"">SB  52</a>",PERA COST-OF-LIVING ADJUSTMENTS,"Michael Padilla; Peter Wirth; Micaelita Debbie O'Malley; Elizabeth ""Liz"" Stefanics; Pete Campos",Sent to SCC - Referrals: SCC/SHPAC/SFC,Senate Committees Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=53&year=26"" target=""_blank"">SB  53</a>",COMMUNITY & HEALTH INFO SAFETY & PRIVACY ACT,Angel M. Charley; Leo Jaramillo; Christine Chandler; Marianna Anaya; Pamelya Herndon,SHPAC: Reported by committee with Do Pass recommendation,Senate Judiciary Committee,02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=54&year=26"" target=""_blank"">SB  54</a>",SCHOOL PERSONNEL REQUIRED TRAININGS,Gabriel Ramos; Luis M. Terrazas,Sent to SCC - Referrals: SCC/SEC/SJC,Senate Committees Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=55&year=26"" target=""_blank"">SB  55</a>",SOLAR MARKET INCOME TAX CREDIT,"Mimi Stewart; Reena Szczepanski; Micaelita Debbie O'Malley; Elizabeth ""Liz"" Stefanics; Nicole Tobiassen",HENRC: Reported by committee with Do Pass recommendation,Scheduled for House Taxation & Revenue Committee                                                                                                                                                                                                                              on 2/16/2026,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=56&year=26"" target=""_blank"">SB  56</a>",CREATE CHILD WELFARE AUTHORITY,Michael Padilla,Sent to SCC - Referrals: SCC/SRC/SFC,Senate Committees Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=57&year=26"" target=""_blank"">SB  57</a>",CONCEALING IDENTITY OF A PEACE OFFICER,Antoinette Sedillo Lopez; Micaelita Debbie O'Malley; Janelle Anyanonu; Eleanor Chávez,Sent to SCC - Referrals: SCC/SJC/SFC,Senate Committees Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=58&year=26"" target=""_blank"">SB  58</a>",EXTEND PROPERTY TAX EXEMPTION PERIOD,Heather Berghmans; Cristina Parajón; Nicole Tobiassen; Cindy Nava,HTRC: Reported by committee with Do Pass recommendation,House Calendar,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=59&year=26"" target=""_blank"">SB  59</a>",LAND GRANT-MERCED & ACEQUIA TRUST,"Leo Jaramillo; Miguel P. García; Pete Campos; Roberto ""Bobby"" J. Gonzales",Sent to SCC - Referrals: SCC/SIRC/SFC,Senate Committees Committee,01/21/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=60&year=26"" target=""_blank"">SB  60</a>",TAX CHANGES,William E. Sharer,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=61&year=26"" target=""_blank"">SB  61</a>",RURAL LIBRARIES,Pete Campos; Gabriel Ramos; Leo Jaramillo; Martin R. Zamora,SIRC: Reported by committee with Do Pass recommendation,Senate Finance Committee,01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=62&year=26"" target=""_blank"">SB  62</a>",RURAL LIBRARIES ENDOWMENT FUND,"Pete Campos; Elizabeth ""Liz"" Stefanics; Martin R. Zamora",SIRC: Reported by committee with Do Pass recommendation,Senate Finance Committee,01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=63&year=26"" target=""_blank"">SB  63</a>",ANIMAL WELFARE FUND SPAY & NEUTER SUBACCOUNT,Craig W. Brandt; Steve D. Lanier,Sent to SCC - Referrals: SCC/SCONC/SFC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=64&year=26"" target=""_blank"">SB  64</a>",CREATE OFFICE OF SPECIAL EDUCATION,Mimi Stewart; Joy Garratt; Cindy Nava,HEC: Reported by committee with Do Pass recommendation,House Calendar,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=65&year=26"" target=""_blank"">SB  65</a>",MANAGEMENT OF PUBLIC SCHOOL LIBRARIES,Antoinette Sedillo Lopez; Harold Pope; Kathleen Cates,Sent to SCC - Referrals: SCC/SEC/SJC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=66&year=26"" target=""_blank"">SB  66</a>",ABANDONED URANIUM MINE CLEANUP,"Jeff Steinborn; Shannon D. Pinto; Angel M. Charley; Benny Shendo, Jr.; D. Wonda Johnson",SCONC: Reported by committee with Do Pass recommendation,Senate Finance Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=67&year=26"" target=""_blank"">SB  67</a>",BEST INTERESTS OF THE CHILD STANDARDS,Crystal Brantley; Gail Armstrong,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=68&year=26"" target=""_blank"">SB  68</a>",ARTIFICIAL INTELLIGENCE  GOVERNMENT USE ACT,Heather Berghmans,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=69&year=26"" target=""_blank"">SB  69</a>",FRONT AND BACK LICENSE PLATES,Michael Padilla,Sent to SCC - Referrals: SCC/STBTC/SFC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=70&year=26"" target=""_blank"">SB  70</a>",UNIVERSAL BASIC INCOME PILOT PROJECT,William P. Soules; Yanira Gurrola,Sent to SCC - Referrals: SCC/SHPAC/SFC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=71&year=26"" target=""_blank"">SB  71</a>",PERA CHANGES,David M. Gallegos; Catherine J. Cullen,Sent to SCC - Referrals: SCC/SHPAC/SFC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=72&year=26"" target=""_blank"">SB  72</a>",FORMER LEGISLATORS AS LOBBYISTS,Harold Pope,Sent to SCC - Referrals: SCC/SRC/SJC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=73&year=26"" target=""_blank"">SB  73</a>",DRIVER'S ED REQUIREMENTS,Heather Berghmans; Antoinette Sedillo Lopez; Cristina Parajón; Natalie Figueroa,Passed in the Senate - Y:25 N:16,House Intro,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=74&year=26"" target=""_blank"">SB  74</a>",COCKFIGHTING PENALTIES,Craig W. Brandt; Catherine J. Cullen,Sent to SCC - Referrals: SCC/SJC/SFC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=75&year=26"" target=""_blank"">SB  75</a>",FOSTERING CONNECTIONS PROGRAM ELIGIBILITY,Michael Padilla,Sent to SCC - Referrals: SCC/SHPAC/SFC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=76&year=26"" target=""_blank"">SB  76</a>",EXPAND GAS & SPECIAL FUELS TAXES,"Roberto ""Bobby"" J. Gonzales; Joy Garratt; Leo Jaramillo; Heather Berghmans; Antonio Maestas",STBTC: Reported by committee with Do Pass recommendation,Scheduled for Senate Finance Committee                                                                                                                                                                                                                                        on 2/15/2026,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=77&year=26"" target=""_blank"">SB  77</a>",APPRENTICE & TRAINING PROGRAM CONTRIBUTIONS,Michael Padilla; Art De La Cruz; Cynthia Borrego,STBTC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/06/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=78&year=26"" target=""_blank"">SB  78</a>",NUCLEAR ENERGY AS RENEWABLE ENERGY,Anthony L. Thornton; Meredith A. Dixon; John Block; Cathrynn N. Brown; Nicole Tobiassen,SCC: Reported by committee to fall within the purview of a 30 day session,Senate Conservation Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=79&year=26"" target=""_blank"">SB  79</a>",MOSQUITO SURVEILLANCE,Nicole Tobiassen; Mimi Stewart; Harlan Vincent; Heather Berghmans; Carrie Hamblen,SCONC: Reported by committee with Do Pass recommendation,Senate Finance Committee,01/29/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=80&year=26"" target=""_blank"">SB  80</a>",DOMESTIC ABUSE DEFINITIONS,Antoinette Sedillo Lopez,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=81&year=26"" target=""_blank"">SB  81</a>",PRIMARY CARE CAPITAL FUNDING ACT,Michael Padilla,SHPAC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=82&year=26"" target=""_blank"">SB  82</a>",UNLEADED AVIATION FUEL GRANT PROGRAM,William P. Soules,Sent to SCC - Referrals: SCC/STBTC/SFC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=83&year=26"" target=""_blank"">SB  83</a>",ACCELERATING RESILIENCE INNOVATIONS DRYLANDS,Pete Campos,SEC: Reported by committee with Do Pass recommendation,Senate Finance Committee,02/02/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=84&year=26"" target=""_blank"">SB  84</a>",SCHOOL WATER MANAGEMENT PROGRAM,Michael Padilla,Sent to SCC - Referrals: SCC/SEC/SFC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=85&year=26"" target=""_blank"">SB  85</a>",AMEND ABUSE & NEGLECT ACT,Antoinette Sedillo Lopez,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=86&year=26"" target=""_blank"">SB  86</a>",HARASSMENT BY TELEPHONE,Crystal Brantley; Andrea Reeb,SHPAC: Reported by committee with Do Pass recommendation,Senate Judiciary Committee,02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=87&year=26"" target=""_blank"">*SB  87</a>",OPIOID ADDICTION PREVENTION,Craig W. Brandt,Sent to SCC - Referrals: SCC/SHPAC/SFC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=88&year=26"" target=""_blank"">SB  88</a>",FOSTER PARENT TAX CREDIT,Michael Padilla,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",01/23/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=89&year=26"" target=""_blank"">SB  89</a>",TAX HOLIDAY FOR HUNTING & FISHING SUPPLIES,Nicole Tobiassen,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",01/23/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=90&year=26"" target=""_blank"">SB  90</a>","""CREDIBLE THREAT"" DEFINITION",Antoinette Sedillo Lopez,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=91&year=26"" target=""_blank"">SB  91</a>",TRAFFIC VIOLATION PENALTIES,Heather Berghmans; Antoinette Sedillo Lopez,Sent to SCC - Referrals: SCC/STBTC/SFC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=92&year=26"" target=""_blank"">SB  92</a>",CONSTRUCTION MATERIALS GROSS RECEIPTS,"Michael Padilla; Cindy Nava; Elizabeth ""Liz"" Stefanics; Cristina Parajón; Heather Berghmans",SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",01/23/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=93&year=26"" target=""_blank"">SB  93</a>",RAIL INFRASTRUCTURE TAX CREDIT,Crystal Brantley; Carrie Hamblen; Gabriel Ramos,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",01/23/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=94&year=26"" target=""_blank"">SB  94</a>",DOMESTIC VIOLENCE OFFENDER TREATMENT PGM.,Antoinette Sedillo Lopez,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=95&year=26"" target=""_blank"">SB  95</a>",PROHIBIT ANTISEMITIC DISCRIMINATION,Craig W. Brandt,Sent to SCC - Referrals: SCC/SHPAC/SJC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=96&year=26"" target=""_blank"">SB  96</a>",REGULATED CHILD CARE ZONING REQUIREMENTS,Heather Berghmans; Linda M. Trujillo; Linda Serrato,HCEDC: Reported by committee with Do Pass recommendation,House Calendar,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=97&year=26"" target=""_blank"">SB  97</a>","TECH ""QUALIFIED EXPENDITURE""",Michael Padilla; Nicole Tobiassen; Meredith A. Dixon,SCC: Reported by committee to fall within the purview of a 30 day session,"Senate Tax, Business and Transportation Committee",01/23/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=98&year=26"" target=""_blank"">SB  98</a>",EXEMPT JETTY JACK FROM CULTURAL PROPERTY ACT,Antonio Maestas; Linda M. López,Sent to SCC - Referrals: SCC/SIRC/SCONC,Senate Committees Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=99&year=26"" target=""_blank"">SB  99</a>",RURAL LIBRARIES ENDOWMENT FUND,"Elizabeth ""Liz"" Stefanics; Pete Campos",SIRC: Reported by committee with Do Pass recommendation,Senate Finance Committee,01/30/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=100&year=26"" target=""_blank"">SB 100</a>",BURGLARY DEFINITION OF DWELLING,Cindy Nava; Linda M. Trujillo; Andrea Romero,HCPAC: Reported by committee with Do Pass recommendation,House Judiciary Committee,02/09/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=S&legType=B&legNo=101&year=26"" target=""_blank"">SB 101</a>",HEALTH CARE DELIVERY & ACCESS ACT REPEAL,"Elizabeth ""Liz"" Stefanics; Reena Szczepanski; Elizabeth ""Liz"" Thomson; Linda M. López; Nicole Tobiassen",HCPAC: Reported by committee with Do Pass recommendation,Scheduled for House Health & Human Services Committee                                                                                                                                                                                                                         on 2/16/2026,02/13/2026
